Date,Price,Open,High,Low,Vol.,Change %
2008/5/15,"1,724.10","1,710.70","1,734.30","1,707.30",182.35M,0.79%
2008/5/14,"1,710.60","1,700.00","1,721.80","1,700.00",117.77M,0.66%
2008/5/13,"1,699.40","1,718.10","1,724.00","1,699.20",128.95M,-1.08%
2008/5/12,"1,717.90","1,715.00","1,724.70","1,696.50",121.55M,0.17%
2008/5/9,"1,714.90","1,729.20","1,740.20","1,710.50",154.79M,-0.83%
2008/5/8,"1,729.30","1,717.10","1,732.40","1,695.50",126.81M,0.65%
2008/5/7,"1,718.20","1,742.60","1,747.30","1,706.80",138.96M,-1.37%
2008/5/6,"1,742.00","1,779.40","1,779.60","1,738.80",89.11M,-2.12%
2008/5/5,"1,779.80","1,784.20","1,788.30","1,763.00",95.55M,-0.24%
2008/5/2,"1,784.10","1,750.30","1,787.10","1,750.20",163.61M,1.96%
2008/5/1,"1,749.80","1,775.50","1,775.50","1,740.90",137.61M,-1.48%
2008/4/30,"1,776.10","1,761.30","1,787.40","1,739.50",178.31M,0.85%
2008/4/29,"1,761.20","1,723.00","1,761.40","1,722.50",176.56M,2.18%
2008/4/28,"1,723.60","1,694.30","1,735.20","1,690.40",110.37M,1.81%
2008/4/24,"1,692.90","1,717.80","1,720.60","1,684.40",144.84M,-1.49%
2008/4/23,"1,718.50","1,707.50","1,721.30","1,697.10",118.88M,0.67%
2008/4/22,"1,707.10","1,724.10","1,727.10","1,697.30",99.28M,-0.98%
2008/4/21,"1,724.00","1,669.10","1,737.90","1,669.10",146.66M,3.35%
2008/4/18,"1,668.10","1,689.60","1,690.50","1,642.20",144.74M,-1.23%
2008/4/17,"1,688.90","1,695.60","1,734.20","1,683.90",180.93M,-0.28%
2008/4/16,"1,693.70","1,667.10","1,693.70","1,667.10",94.97M,1.61%
2008/4/15,"1,666.90","1,628.40","1,676.90","1,628.20",118.43M,2.36%
2008/4/14,"1,628.50","1,663.30","1,663.70","1,623.90",95.99M,-2.11%
2008/4/11,"1,663.60","1,669.70","1,675.90","1,644.50",98.89M,-0.37%
2008/4/10,"1,669.80","1,724.60","1,724.60","1,647.10",133.68M,-3.19%
2008/4/9,"1,724.90","1,776.00","1,780.40","1,716.30",142.17M,-2.89%
2008/4/8,"1,776.30","1,756.10","1,780.70","1,748.30",282.94M,1.14%
2008/4/7,"1,756.30","1,743.90","1,760.20","1,739.40",201.27M,0.71%
2008/4/4,"1,744.00","1,746.40","1,759.40","1,734.20",293.61M,-0.11%
2008/4/3,"1,746.00","1,742.20","1,761.40","1,731.70",268.32M,0.25%
2008/4/2,"1,741.70","1,698.00","1,780.10","1,697.80",203.09M,2.70%
2008/4/1,"1,695.90","1,703.80","1,721.60","1,687.90",107.40M,-0.45%
2008/3/31,"1,703.50","1,657.80","1,712.80","1,651.30",192.96M,2.74%
2008/3/28,"1,658.00","1,669.60","1,669.90","1,635.60",338.01M,-0.72%
